t;G1;G2;G3;COI
0.01;6.175610063078746;3.0848148043487154;8.369801859063756;5.776924061567178
0.02;6.218129996453997;3.2623461396957625;8.636508097212218;5.866005984352017
0.03;6.303286209909518;3.617408810753957;9.16902043462334;6.044171071083286
0.04;6.431311038463019;4.150002818314021;9.965545021797693;6.311422133194752
0.05;6.602552062250593;4.860128163717331;11.023407276015279;6.667764202729227
0.06;6.817470927447653;5.747784849039497;12.33907163621122;7.113205488160698
0.07;7.076641658958453;6.812972877330552;13.908168405280817;7.647758612181199
0.08;7.38074837621411;8.055692252907956;15.725528034309345;8.27144210032023
0.09;7.730582313391965;9.475942981697827;17.785223201842495;8.984282081966658
0.1;8.127038042679112;11.073725071619103;20.08061898802234;9.786314158585288
0.11;8.57110880453301;12.849038533004775;22.604431335748817;10.677585387927225
0.12;9.063880862480135;14.801883379053903;25.34879383050943;11.658156328133398
0.13;9.606526821568997;16.93225962630782;28.305332622900643;12.728103082154073
0.14;10.200297878340626;19.24016729514382;31.46524907306825;13.887519281174836
0.15;10.846515004738325;21.72560641027958;34.81940942801833;15.136517946025371
0.16;11.546559106893055;24.38857700128185;38.35844056767844;16.475233168044415
0.17;12.301860239937788;27.229079103073015;42.07283059225032;17.903821555657192
0.18;13.113885999419848;30.247112756429722;45.95303279073911;19.42246339992618
0.19;13.984129245923889;33.442678008467986;49.98957134635285;21.031363521342143
0.2;14.914095349760418;36.81577491310975;54.173147013775065;22.730751770762538
0.21;15.90528916492999;40.3664035315263;58.49474095701584;24.520883169177946
0.22;16.95920195448217;44.09456393255416;62.94571497035864;26.402037683300595
0.23;18.07729849195028;48.000256193079416;67.51790641883441;28.37451964617563
0.24;19.261004555586243;52.08348039838671;72.20371642296217;30.43865684347504
0.25;20.511695014200583;56.3442366424687;76.99619006436913;32.59479929625576
0.26;21.830682676742576;60.7825250282921;81.8890876894609;34.84331777925995
0.27;23.21920804406978;65.39834566801561;86.87694672002806;37.18460211995141
0.28;24.67843006274097;70.19169868315512;91.95513372395524;39.619059327216185
0.29;26.209417939364624;75.16258420469023;97.11988683793332;42.14711159996298
0.3;27.813144032258155;80.31100237310619;102.36834895099435;44.769194264839804
0.31;29.490477796933828;85.63695333836417;107.69859233940366;47.485753689157384
