t;G1;G2;G3
0.01;0.398686001511567;-2.6921092572184633;2.5928777974965778
0.02;0.3521240121019793;-2.603659844656255;2.7705021128602
0.03;0.2591151388262317;-2.4267622603293297;3.1248493635400525
0.04;0.11988890526826707;-2.1614193148807317;3.6541228886029407
0.05;-0.06521214047863431;-1.8076360390118964;4.355643073286051
0.06;-0.29573456071304566;-1.3654206391212016;5.225866148050522
0.07;-0.5711169532227466;-0.8347857348506469;6.260409793099618
0.08;-0.8906937241061201;-0.2157498474122743;7.4540859339891155
0.09;-1.2536997685746922;0.49166089973117005;8.800941119875839
0.1;-1.6592761159061744;1.2874109130338156;10.294304829437054
0.11;-2.1064765833942167;2.171453145077549;11.92684594782159
0.12;-2.594275465653263;3.1437270509205053;13.69063750237603
0.13;-3.1215762605850768;4.204156544153749;15.57722954074657
0.14;-3.687221402834211;5.352648013968983;17.577729791893415
0.15;-4.290002941287044;6.589088464254207;19.68289148199296
0.16;-4.9286740611513595;7.913343833237435;21.883207399634028
0.17;-5.601961315719403;9.325257547415825;24.16900903659313
0.18;-6.308577400506333;10.824649356503542;26.530569390812925
0.19;-7.047234275418256;12.411314487125837;28.958207825010703
0.2;-7.816656421002119;14.085023142347215;31.442395243012527
0.21;-8.615594004247958;15.845520362348358;33.97385778783789
0.22;-9.442835728818425;17.692526249253568;36.54367728705804
0.23;-10.29722115422535;19.625736546903788;39.14338677265878
0.24;-11.1776522878888;21.64482355491167;41.76505957948713
0.25;-12.083104282055176;23.749437346212943;44.401390768113366
0.26;-13.012635102517374;25.939207249032147;47.045769910200946
0.27;-13.965394075881624;28.213743548064205;49.69234460007666
0.28;-14.940629264475213;30.572639355938943;52.336074396739065
0.29;-15.937693660598361;33.01547260472724;54.97277523797034
0.3;-16.95605023258165;35.54180810826638;57.59915468615454
0.31;-17.995275892223557;38.15119964920678;60.21283865024627
0.31;-19.035973368447355;40.8181808365485;62.71563225122412
0.32;-20.039609738690256;43.491171196968395;64.91457759536205
0.33;-20.986557189404238;46.14122922397168;66.71705811431798
0.34;-21.87628584965305;48.76280267584331;68.13071772770795
0.35;-22.70842112094112;51.349650268115624;69.16588491133149
0.36;-23.48270284544736;53.89486009604093;69.83521284110083
0.37;-24.198954959543777;56.39087374062453;70.1533898018663
0.38;-24.85706474111;58.829519072986066;70.13690644941177
0.39;-25.456970464147304;61.20205458378054;69.8038645967597
0.4;-25.998656097328453;63.49922747284326;69.17381206466685
0.41;-26.482151592920296;65.711346795507;68.26758942371784
0.42;-26.907537287331703;67.82837176198932;67.10717680923244
0.43;-27.274950961496135;69.84001393923162;65.71553206600858
0.44;-27.584596181823425;71.7358507477373;64.1164149344804
0.45;-27.8367506572676;73.50544642764942;62.334195482009676
0.46;-28.031773502324835;75.13847571139962;60.39364818671135
0.47;-28.170110484946406;76.62484490304013;58.319735709194504
0.48;-28.252296554997077;77.95480500278076;56.13738822004437
0.49;-28.278955182626444;79.11905195051436;53.871285061128354
0.5;-28.250794274305495;80.10880995686865;51.54564548857867
0.51;-28.168598664342348;80.91589515451207;49.18403436417781
0.52;-28.033219389656704;81.53275830778239;46.80918711019195
0.53;-27.845560136424712;81.95250691863673;44.44285626106487
0.54;-27.60656139356264;82.16890861775438;42.10567979740612
0.55;-27.31718295853932;82.17637910861733;39.81706938362742
0.56;-26.97838551789424;81.96995904973086;37.595114858718055
0.57;-26.59111207293439;81.54528506328911;35.45649999970717
0.58;-26.156270006634163;80.89856052950499;33.416423776743756
0.59;-25.67471459713247;80.02653197278917;31.488521079853733
0.6;-25.147234781726034;78.92647669240488;29.684777212163297
0.61;-24.574541966185862;77.59620686327008;28.01543128096497
0.62;-23.9572626581719;76.03409465339575;26.48886493603011
0.63;-23.295935677921854;74.23912198219011;25.11147466447023
0.64;-22.591014658353327;72.21095737418285;23.887528016180053
0.65;-21.84287648113761;69.95006093154028;22.81900666187167
0.66;-21.0518361933608;67.4578167413777;21.905442015359284
0.67;-20.21816879761301;64.73669004912632;21.14375217978847
0.68;-19.342138093383603;61.79040429726705;20.52809203491013
0.69;-18.424032458899223;58.62413073022249;20.049731114601826
0.7;-17.46420709566208;55.24468084858729;19.696976182887873
0.71;-16.463131818849458;51.66068978140475;19.455156676614706
0.72;-15.421442985489968;47.88277692402168;19.30669098446593
0.73;-14.339997645817746;43.92366929184443;19.231249461570062
0.74;-13.219927535049965;39.79827328836335;19.206025874769235
0.75;-12.062690159454274;35.52368222244612;19.206122639814918
0.76;-10.870114042461731;31.11911002572457;19.205047109354656
0.77;-9.644435245461613;26.605746091967696;19.175307047879734
0.78;-8.388322601865006;22.006531621689415;19.089084361885497
