t;G1;G2;G3;COI
0.01;50.00590150343319;50.02465712989721;50.03707384342998;50.012372449053764
0.02;50.01772068177528;50.07397138974004;50.11109628887473;50.03711750804892
0.03;50.029588325700004;50.12328564973674;50.1847438985759;50.061863095690676
0.04;50.041536579051936;50.172599910018846;50.25776976096541;50.08660971659348
0.05;50.053597323052266;50.22191417076076;50.3299314913777;50.11135809981456
0.06;50.06580204650165;50.27122843219599;50.40099315317561;50.1361092809807
0.07;50.07818169322656;50.32054269463237;50.47072727408528;50.16086467680847
0.08;50.09076648302657;50.36985695846619;50.538916964263905;50.18562614993544
0.09;50.10358570429446;50.419171224194855;50.605358128810074;50.210396062090354
0.1;50.11666747864285;50.46848549242807;50.669861752400955;50.235177313808876
0.11;50.13003850016487;50.5177997638973;50.73225621855819;50.259973369158864
0.12;50.14372375425019;50.567114039463334;50.792389611864365;50.284788264289006
0.13;50.15774622302139;50.616428320122175;50.850131939464084;50.30962659905581
0.14;50.17212658629617;50.66574260700894;50.90537719951792;50.33449351151128
0.15;50.186882928369215;50.71505690139983;50.95804521989879;50.35939463562791
0.16;50.20203046171675;50.764371204712546;51.00808319102349;50.38433604327156
0.17;50.21758127886366;50.81368551850477;51.05546682262755;50.40932417206888
0.18;50.233544143070816;50.862999844471176;51.10020106542177;50.43436574141389
0.19;50.24992432720921;50.91231418443897;51.14232035436363;50.459467659372756
0.2;50.26672350825553;50.961628540362014;51.18188834975982;50.48463692363857
0.21;50.28393972239423;51.01094291431385;51.21899717426284;50.509880519925545
0.22;50.30156738291254;51.06025730847941;51.253766166483175;50.535205321253706
0.23;50.3195973601253;51.10957172514574;51.28634019378116;50.56061799145465
0.24;50.33801711967245;51.158886166691644;51.31688758628983;50.58612489593391
0.25;50.35681091289107;51.20820063557613;51.34559777004737;50.6117320222776
0.26;50.37596001074337;51.25751513432575;51.37267868833695;50.637444912724725
0.27;50.395442971105076;51.306829665520645;51.39835410642258;50.66326860988164
0.28;50.4152359281567;51.35614423177909;51.42286089575918;50.689207616376564
0.29;50.43531289218978;51.40545883574041;51.44644638978419;50.715265868482774
0.3;50.455646048306626;51.45477348004622;51.46936589524971;50.741446723115466
0.31;50.47620604317986;51.50408816731933;51.491880431644354;50.76775295706098
0.31;50.49781755337717;51.52975690899632;51.45074931891358;50.78443590406483
0.32;50.52072538041868;51.53135643072332;51.34700567842718;50.79168279097709
0.33;50.54428140951451;51.531986735719485;51.24546109465599;50.79940591601944
0.34;50.568386283841114;51.53140435325864;51.14686675072119;50.80755547747443
0.35;50.59295396626666;51.529370821049355;51.05186375211528;50.81608214557115
0.36;50.617909999739894;51.52565511853028;50.961005577377705;50.824938334049975
0.37;50.643189646552415;51.52003661591758;50.874776888282334;50.834079153407
0.38;50.66873604351962;51.5123085818921;50.79360792907398;50.8434630819796
0.39;50.694498470145334;51.5022821727905;50.71788429036055;50.8530523889283
0.4;50.72043079490154;51.48979071572519;50.647952253068716;50.86281333899699
0.41;50.74649014035174;51.47469400744785;50.584120268097266;50.87271620491843
0.42;50.772635789586985;51.45688228965406;50.52665737291148;50.88273511080441
0.43;50.79882834267933;51.43627953783824;50.47578949876627;50.892847729331024
0.44;50.8250291210655;51.412845719702695;50.43169468097809;50.90303485681784
0.45;50.85119980878174;51.386577740898055;50.39449815052107;50.91327989272062
0.46;50.87730231154984;51.357508895437675;50.364268164121015;50.92356825264277
0.47;50.90329880756831;51.32570676493717;50.34101323561085;50.933886745709565
0.48;50.9291519575533;51.29126965006849;50.3246811855666;50.944222947217966
0.49;50.9548252363962;51.254321752416;50.3151601576681;50.95456459541452
0.5;50.980283345142794;51.215007439141516;50.31228149005388;50.964899037057286
0.51;51.00549266019478;51.17348500379624;50.31582410730371;50.97521274052299
0.52;51.030421676885986;51.129920376942685;50.32551993607066;50.98549088839911
0.53;51.05504140688921;51.084481238844916;50.34105975750505;50.99571705469164
0.54;51.07932569306757;51.03733194792053;50.36209889438461;51.00587296589731
0.55;51.10325141103208;50.98862963164558;50.38826218260278;51.01593834096716
0.56;51.12679853336118;50.938521701896846;50.419147780926906;51.02589080306772
0.57;51.14995003971695;50.887144964847074;50.4543295121675;51.03570585614384
0.58;51.172691663564365;50.83462640505404;50.493357585967345;51.045356921415106
0.59;51.19501147357749;50.78108563974475;50.53575771429022;51.05481543267025
0.6;51.216899294950444;50.72663896445499;50.581028785850556;51.064050993965225
0.61;51.23834598270328;50.671404843934866;50.62863941028177;51.073031608388405
0.62;51.25934256576738;50.61551063904229;50.67802377543956;51.081723991185626
0.63;51.27987928729887;50.55910029654861;50.72857738217673;51.090093983963946
0.64;51.2999445734458;50.50234265998726;50.77965332975754;51.09810708813154
0.65;51.31952396976144;50.445439983298726;50.830559918158514;51.10572913440028
0.66;51.33859909153562;50.388636145809784;50.88056040186678;51.11292710035412
0.67;51.3571466412048;50.33222398248669;50.92887575791886;51.1196700791931
0.68;51.375137552093534;50.276551068540144;50.974691296986265;51.12593038953332
0.69;51.3925363220888;50.2220232492372;51.01716782453346;51.13168479882431
0.7;51.409300602182654;50.16910520566073;51.05545782476516;51.136915812537666
0.71;51.42538110164401;50.118317418168644;51.08872677734717;51.14161295972644
0.72;51.44072186240012;50.070229051018465;51.11617922808123;51.1457739857846
0.73;51.455260938855986;50.025446543654574;51.13708864952594;51.14940584898693
0.74;51.46893149545346;49.98459804940552;51.15082950835652;51.152525412673775
0.75;51.4816633035624;49.94831428210316;51.15690939590933;51.155159733233354
0.76;51.49338458411137;49.917206764618335;51.15499868762399;51.15734586722234
0.77;51.50402410657059;49.891844853420814;51.144955081682916;51.15913015845953
0.78;51.513513423563175;49.8727331690047;51.12684059867812;51.16056701412056
0.79;51.52178909898336;49.8602911350818;51.10092921346776;51.16171723137756
0.8;51.52879478079932;49.85483619058693;51.067704173394915;51.162645984864476
0.81;51.53448298053996;49.85657189801965;51.02784510060261;51.163420622090904
