t;G1;G2;G3
0.01;0.00012439211057553386;0.00012137174443454337;0.00023079122841545893
0.02;0.0011176831108035987;0.0010923361654532613;0.002070097015840645
0.03;0.0030944512702354666;0.003034209615158181;0.005711424500851103
0.04;0.006035217374098912;0.005946859659999339;0.01108105576402811
0.05;0.009911134872799779;0.009830034222993065;0.018070532146801137
0.06;0.014684439253072218;0.014683299417655388;0.026539173437102482
0.07;0.020309050307556385;0.020505959895102493;0.0363173936355129
0.08;0.026731327511007954;0.027296964451892808;0.04721076645977388
0.09;0.033890976004723086;0.03505480028153219;0.05900477153422473
0.1;0.041722096609093165;0.04377737982624177;0.07147012565553561
0.11;0.05015436797790585;0.053461924663789476;0.08436857409084242
0.12;0.05911434280628624;0.06410485120820451;0.09745898687089691
0.13;0.06852683339717801;0.07570166317330025;0.11050357747945652
0.14;0.07831635549090431;0.08824685570837877;0.12327403956056905
0.15;0.08840859374306254;0.10173383583998868;0.1355573845722428
0.16;0.0987318482602784;0.11615486333060555;0.1471612625129897
0.17;0.1092184197404466;0.13150101530193123;0.1579185607997201
0.18;0.11980589141302068;0.1477621769956461;0.16769110364439035
0.19;0.130438269303648;0.16492705990730855;0.17637231491944355
0.2;0.14106694825909777;0.1829832472970312;0.18388875906313432
0.21;0.1516514793015555;0.20191726583334793;0.1902005332999515
0.22;0.16216012364589127;0.22171468094900226;0.19530054569228916
0.23;0.17257018935806517;0.2423602124603953;0.19921277230868584
0.24;0.1828681573330169;0.263837866195564;0.20198963836350445
0.25;0.19304961322498254;0.2861310768396324;0.20370870864759305
0.26;0.20311901048281297;0.3092228569694844;0.2044688992803103
0.27;0.213089296219179;0.33309594731402886;0.20438643462147357
0.28;0.22298143598845155;0.3577329636226903;0.20359077046757462
0.29;0.23282387560665166;0.383116536113108;0.20222068915698393
0.3;0.24265197807069352;0.40922943824636376;0.2004207466899147
0.31;0.2525074717419877;0.4360547024845177;0.19833821980919084
0.31;0.24404241912590727;0.44676234283927274;0.1679320051427746
0.32;0.21810187679475052;0.44001767451545387;0.11664537023333559
0.33;0.19335779797950306;0.43161936922412386;0.07525814878945128
0.34;0.1699291225243716;0.4213913790786504;0.04354847359763521
0.35;0.14789932079335846;0.4091857454077023;0.021027914604802
0.36;0.12732594615717938;0.39488885686961966;0.0070029904173708095
0.37;0.10824839062363885;0.37842882412449225;0.0006264938846805746
0.38;0.0906937935531619;0.359783677716787;0.0009401485157922126
0.39;0.07468120161032785;0.33898986057461944;0.006910743416648365
0.4;0.06022417141599965;0.3161502858874858;0.01746191590431021
0.41;0.04733206154093745;0.2914410967411825;0.03150335333937016
0.42;0.03601029002583309;0.26511622574741933;0.047958545604546
0.43;0.026259845319179142;0.23750893292609318;0.06579149457141979
0.44;0.018076336244434266;0.2090297052097296;0.08403211194131141
0.45;0.011448851628329504;0.18016021769984614;0.1017995190525027
0.46;0.006358872795556815;0.15144344975918958;0.11832217267771065
0.47;0.002779442811944196;0.12347046427892398;0.13295370742072415
0.48;0.0006747468725030243;0.09686473248842287;0.14518359037927386
0.49;2.0181002754100076e-7;0.07226515861075876;0.15464206910230732
0.5;0.0007030938079685043;0.05030908297266196;0.16109937394236132
0.51;0.0027237470548050744;0.031616498183044274;0.1644596161612032
0.52;0.0059971569715231475;0.016776508631975825;0.1647502194856912
0.53;0.010454983345999447;0.006336732432699792;0.16210797691676976
0.54;0.016027773122941753;0.0007959378699206648;0.15676291188610741
0.55;0.022647269812078912;0.000599780286815543;0.14902105205117436
0.56;0.030248664968027885;0.006139112241585114;0.13924702986561516
0.57;0.03877265430528026;0.01775001934120771;0.1278471563339218
0.58;0.04816717354672195;0.035714510381374805;0.1152533265822693
0.59;0.05838870392335385;0.06026067273918619;0.10190785638514882
0.6;0.06940305175412535;0.09156109170820698;0.08824915538133499
0.61;0.08118551905760957;0.1297284207034148;0.07469804078008473
0.62;0.09372039215285233;0.17480717433750007;0.06164449833505166
0.63;0.10699968345995757;0.22676109957045598;0.049434807992090386
0.64;0.12102107033439724;0.2854558684084045;0.0383591625493586
0.65;0.1357849872172482;0.3506373386076285;0.02864020045489969
0.66;0.15129084827220568;0.4219062519225467;0.020423216189966405
0.67;0.1675324123669782;0.498690973249244;0.013769153718151565
0.68;0.18449235604450462;0.5802206815896952;0.008651760433826965
0.69;0.2021361969799372;0.6655022281832998;0.004960393037042044
0.7;0.22040581115966051;0.7533045542359557;0.0025098265835223977
0.71;0.23921290722400537;0.8421549426223632;0.0010579394116541217
0.72;0.25843294944615525;0.9303512739296323;0.00033128817694073605
0.73;0.2779001368163626;1.0159936940957086;5.738525399707211e-5
0.74;0.2974041225466614;1.0970375806087411;1.0878751367925207e-6
0.75;0.3166891654417559;1.1713674553312623;1.157937222041407e-6
0.76;0.33545631485557387;1.236888753707713;2.083862228751593e-6
0.77;0.3533690296083111;1.29163152388104;7.600238121854807e-5
0.78;0.3700623245316507;1.3338577206084121;0.00043024588998105093
0.79;0.38515515845143833;1.3621623114912214;0.0013976947218028411
0.8;0.3982653806540803;1.375558323052852;0.0034095054346319955
0.81;0.4090262093987879;1.373537352763406;0.00695246685097233
0.82;0.41710299341472556;1.3560997668819;0.012515648199170589
0.83;0.42220895232534716;1.3237523117881729;0.020532643375607753
0.84;0.4241187168267297;1.2774745435721133;0.03132627506426793
0.85;0.4226787678485813;1.218658687379534;0.045062069208682075
0.86;0.4178142480030508;1.1490297942195302;0.06171536678348193
0.87;0.40953201495164565;1.0705541400143614;0.0810549879217599
0.88;0.3979201550336342;0.9853437430232794;0.10264431605959877
0.89;0.38314442655804937;0.8955638979348317;0.12585886067306742
0.9;0.365442234268985;0.8033490818517784;0.14991798258139397
0.91;0.34511475726621577;0.7107308336307748;0.17392758239258627
0.92;0.3225177914976198;0.6195795364494522;0.19693011601946292
0.93;0.2980517648304471;0.5315606379310346;0.21795821822885347
0.94;0.2721512766371122;0.4481048124842822;0.2360883887968153
0.95;0.2452744336523728;0.37039090969993255;0.2504915497308682
0.96;0.21789221333721695;0.2993401848361643;0.2604777652371791
0.97;0.19047808333698163;0.23562018739069404;0.2655329941299356
0.98;0.16349812685076182;0.17965670184904156;0.2653463860325007
0.99;0.13740194835632435;0.13165221458229445;0.2598273006688135
1.0;0.1126146416263231;0.0916094694322127;0.2491118781315527
1.01;0.08953007726675692;0.05935874472397363;0.233559568205756
1.02;0.06850570395352333;0.03458753253478383;0.21374049509189105
1.03;0.049858959699978236;0.016871339956681712;0.19041486086932732
1.04;0.03386526849666744;0.005704382979581659;0.1645057667999117
1.05;0.02075746992255443;0.0005290274311539284;0.1370668657853382
1.06;0.01072641208535039;0.0007629621266042815;0.10924617738626913
1.07;0.003922346175018691;0.005823270066166215;0.08224723383238301
1.08;0.00045670389626959547;0.015146785566663455;0.05728852013775333
1.09;0.00040382152500599344;0.02820637050946138;0.035561962161374576
1.1;0.0038021960239992296;0.04452298795407521;0.018191039573327204
1.11;0.010654916154320532;0.06367367230068703;0.006188990580535268
1.12;0.0209290001986138;0.08529567217471132;0.00041756458595980947
1.13;0.03455348744652748;0.10908716276085276;0.0015468973552670321
1.14;0.05141626969862284;0.1348049847824002;0.010017353151171856
1.15;0.07135980913423097;0.16225987276548617;0.026004606892141874
1.16;0.09417606659890311;0.19130959802785683;0.0493898075082894
1.17;0.11960115318109826;0.22185038953777975;0.07973731299400949
1.18;0.14731040539490392;0.25380692865916327;0.11628311018928914
1.19;0.17691474955421344;0.2871211622678738;0.15793746733315825
1.2;0.20795933402725889;0.3217401608383279;0.2033054126390346
1.21;0.23992543185414095;0.3576032768461349;0.2507280750846267
1.22;0.2722365123148785;0.39462893935044707;0.29834659543959174
1.23;0.30426911885352187;0.4327015475509704;0.34418816143040215
1.24;0.33536876419485945;0.47165908176976207;0.38627087014134687
1.25;0.3648704869864396;0.5112822046844263;0.42272092913894177
1.26;0.3921230733183581;0.5512857394127839;0.4518927419784168
1.27;0.41651533234900046;0.5913134421749084;0.47248036655229897
1.28;0.437502347882122;0.6309369006972779;0.48360831808220905
1.29;0.4546294171424265;0.669659168084231;0.4848910945013813
1.3;0.4675515024934931;0.7069233948770708;0.47645410105946856
1.31;0.4760464637038665;0.7421262881595052;0.45891334897667047
1.32;0.4800210372408804;0.7746357687607762;0.4333165349825942
1.33;0.4795093573844575;0.8038117899978225;0.40105286175116134
1.34;0.47466462001837545;0.8290289919136424;0.36374234951663775
1.35;0.4657451373683943;0.8496997386912714;0.32311689238541674
1.36;0.4530964317220407;0.8652961355159835;0.28090487094866406
1.37;0.43713114178013573;0.8753698215085646;0.2387291096502588
1.38;0.4183083983867981;0.8795686373384948;0.19802498936342436
1.39;0.39711403780373417;0.8776496065471457;0.15998227832424528
1.4;0.37404264579177837;0.8694879878038345;0.12551129839474176
1.41;0.3495820424699767;0.8550824061928498;0.09523175449305224
1.42;0.32420048283116776;0.8345562333113282;0.06948104856990832
1.43;0.2983365914557206;0.8081554610749918;0.048338118563181855
1.44;0.27239187952697874;0.7762433254425016;0.03165862473311716
1.45;0.24672559817119347;0.7392919183708632;0.019117458971857727
1.46;0.22165164592514308;0.6978710155988846;0.010254911661503337
1.47;0.19743724897918632;0.652634373010727;0.004523283550484432
1.48;0.17430315226687126;0.6043038193020285;0.0013312206256237851
1.49;0.15242508377299377;0.5536515935050206;8.35624669095156e-5
1.5;0.13193627539985145;0.5014815221031376;0.0002150323352106695
1.51;0.11293083812956527;0.44860977028784993;0.00121666224185523
1.52;0.09546779755989464;0.39584600061285824;0.0026544264775527444
1.53;0.0795756009263252;0.3439758007317981;0.004180123392469216
1.54;0.06525691199271219;0.2937451835858678;0.005535056621225524
1.55;0.05249351883585299;0.245847818210758;0.006547480882928911
1.56;0.04125119353386727;0.2009154330638916;0.007125060883542043
1.57;0.03148436256967445;0.15951157410695316;0.007243729189408844
1.58;0.023140471444149744;0.12212863005636117;0.006934325293501589
1.59;0.016163954585051325;0.08918778934595387;0.006268276916262908
1.6;0.010499749639085147;0.061041392978754466;0.005343381695924258
1.61;0.006096321139386603;0.03797701043704089;0.004270503352503991
1.62;0.0029081802501903205;0.020222497771738717;0.0031617491763916094
1.63;0.0008979033726049301;0.007951294782671117;0.0021204755453201026
1.64;3.7662185897448395e-5;0.0012872727863078176;0.0012332948293959183
1.65;0.00031028127351073596;0.00030854399752991093;0.0005641392425433476
1.66;0.0017098375510882795;0.00504977603553933;0.00015037390845884838
1.67;0.00424180947687835;0.015502710102923208;9.33888422603792e-7
1.68;0.007922775039917706;0.03161475081228069;9.647397616501581e-5
1.69;0.012779647581494824;0.053285673141474976;0.0003915481383348888
1.7;0.01884842953942984;0.08036267204686572;0.0008188584424903849
1.71;0.026172458180927043;0.1126341566285154;0.0012956121689174141
1.72;0.03480011620347273;0.14982285513691218;0.0017319834995231152
1.73;0.044781985409688085;0.19157893833221068;0.0020415797990590784
1.74;0.056167434766529044;0.23747397267784318;0.002153655841658202
1.75;0.06900065567413544;0.2869965658488889;0.0020266056062185284
1.76;0.08331618697050794;0.33955055014684987;0.0016620053714149576
1.77;0.09913400883316234;0.3944564539287603;0.0011182113039567597
1.78;0.11645432597832635;0.4509568342740502;0.0005222683487192363
1.79;0.1352522031275817;0.50822579393379;7.871082803376686e-5
1.8;0.15547225574139953;0.5653827023793164;7.377451511874672e-5
1.81;0.17702363259313147;0.6215098154352973;0.0008736318917009663
1.82;0.19977555057511526;0.6756731778073229;0.0029155260499748995
1.83;0.22355365413052522;0.7269459346599764;0.006691109983013992
1.84;0.2481374714731013;0.7744330012036104;0.012721868210246777
1.85;0.27325922852518275;0.8172959577377471;0.021527158935383737
1.86;0.29860426166376147;0.8547770492704669;0.03358611003412686
1.87;0.3238132444825443;0.8862212553359193;0.049295276197670844
1.88;0.34848641328371094;0.9110955284489501;0.06892457382310095
1.89;0.3721899398350193;0.9290044485310089;0.09257452460768231
1.9;0.39446455349685117;0.9397016824209026;0.12013823555147482
1.91;0.4148364498967708;0.9430967625559562;0.1512717938197078
1.92;0.4328304290803576;0.9392568130946273;0.18537681075799917
1.93;0.44798507173976837;0.928402974126756;0.22159863198387358
1.94;0.45986958120962523;0.910901430073555;0.2588431374204506
1.95;0.46810169431121096;0.8872491582458873;0.29581398443899964
1.96;0.4723658129384567;0.8580547861993044;0.33107054089382787
1.97;0.4724302644860573;0.8240152707994276;0.36310465135653314
1.98;0.46816241192532126;0.7858894552015814;0.3904319586117154
1.99;0.4595402601810815;0.7444698724230017;0.41169109640186247
2.0;0.44665929533549775;0.700554388527988;0.42574212775894005
2.01;0.42973357581001825;0.6549193632442977;0.43175459933192784
2.02;0.40909056212316675;0.6082959192464936;0.42927588337275835
2.03;0.38515977278344943;0.5613506511220481;0.4182722187084381
2.04;0.3584559991501834;0.5146717015227803;0.3991378610671224
2.05;0.32955839267702286;0.4687606427704599;0.3726715305906518
2.06;0.2990871512040964;0.42403009949874954;0.34002322366245596
2.07;0.2676797065747569;0.38080660265039773;0.3026177367597981
2.08;0.23596823290274968;0.33933783188759603;0.2620633866828738
2.09;0.20455998447332682;0.2998032108759559;0.22005514060018355
2.1;0.17402150610606615;0.26232676843203717;0.17828074448215797
2.11;0.14486722784349723;0.22699124502192233;0.1383367744296056
2.12;0.11755244778813845;0.19385257075968962;0.10165929162910581
2.13;0.09247028867211095;0.16295402559623895;0.06947143176433333
2.14;0.06995192266775982;0.13433957665761867;0.04274818715322206
2.15;0.050269203210031616;0.10806604317798663;0.022197082244676564
