t;G1;G2;G3
0.01;0.0;0.0;0.0
0.02;-0.0009932910002280779;-0.0009709644210187159;-0.0018393057874251753
0.03;-0.002970059159659941;-0.0029128378707236335;-0.005480633272435644
0.04;-0.005910825263523364;-0.0058254879155648035;-0.010850264535612658
0.05;-0.009786742762224259;-0.009708662478558528;-0.017839740918385673
0.06;-0.01456004714249667;-0.014561927673220858;-0.026308382208687038
0.07;-0.020184658196980846;-0.020384588150667973;-0.03608660240709747
0.08;-0.026606935400432394;-0.02717559270745828;-0.04697997523135843
0.09;-0.033766583894147495;-0.03493342853709768;-0.05877398030580931
0.1;-0.041597704498517615;-0.04365600808180721;-0.07123933442712019
0.11;-0.05002997586733024;-0.05334055291935494;-0.08413778286242703
0.12;-0.05898995069571068;-0.06398347946376994;-0.0972281956424815
0.13;-0.06840244128660246;-0.07558029142886565;-0.11027278625104106
0.14;-0.07819196338032874;-0.08812548396394415;-0.12304324833215358
0.15;-0.0882842016324869;-0.10161246409555409;-0.13532659334382732
0.16;-0.09860745614970284;-0.11603349158617098;-0.14693047128457418
0.17;-0.10909402762987098;-0.13137964355749668;-0.15768776957130454
0.18;-0.11968149930244508;-0.1476408052512116;-0.16746031241597487
0.19;-0.13031387719307228;-0.16480568816287408;-0.1761415236910281
0.2;-0.14094255614852236;-0.1828618755525965;-0.18365796783471874
0.21;-0.15152708719097996;-0.2017958940889133;-0.189969742071536
0.22;-0.16203573153531564;-0.22159330920456774;-0.1950697544638736
0.23;-0.17244579724748946;-0.24223884071596075;-0.1989819810802702
0.24;-0.18274376522244135;-0.2637164944511292;-0.20175884713508874
0.25;-0.19292522111440694;-0.2860097050951977;-0.20347791741917734
0.26;-0.20299461837223742;-0.3091014852250499;-0.20423810805189463
0.27;-0.21296490410860322;-0.33297457556959414;-0.20415564339305786
0.28;-0.22285704387787592;-0.35761159187825553;-0.20335997923915894
0.29;-0.23269948349607592;-0.382995164368673;-0.20198989792856825
0.3;-0.2425275859601176;-0.409108066501929;-0.20018995546149904
0.31;-0.2523830796314116;-0.435933330740083;-0.19810742858077512
0.31;-0.24391802701533144;-0.446640971094838;-0.16770121391435885
0.32;-0.21797748468417505;-0.4398963027710191;-0.11641457900491975
0.33;-0.19323340586892726;-0.4314979974796893;-0.07502735756103586
0.34;-0.16980473041379607;-0.42127000733421566;-0.04331768236921928
0.35;-0.147774928682783;-0.40906437366326764;-0.02079712337638668
0.36;-0.1272015540466038;-0.39476748512518495;-0.0067721991889553275
0.37;-0.10812399851306306;-0.3783074523800575;-0.0003957026562655319
0.38;-0.09056940144258607;-0.3596623059723522;-0.0007093572873771133
0.39;-0.07455680949975217;-0.33886848883018456;-0.006679952188233255
